"V1" "V2" "V3" "V4" "V5" "V6"
57 " Bachelors" " Married-civ-spouse" " Black" " Male" 40
53 " HS-grad" " Married-civ-spouse" " White" " Male" 38
44 " Masters" " Divorced" " White" " Female" 40
41 " Assoc-voc" " Married-civ-spouse" " White" " Male" 40
29 " Assoc-voc" " Never-married" " White" " Male" 43
25 " Some-college" " Married-civ-spouse" " Other" " Female" 40
18 " HS-grad" " Never-married" " White" " Female" 30
47 " Prof-school" " Married-civ-spouse" " White" " Female" 60
50 " Bachelors" " Divorced" " White" " Male" 55
47 " HS-grad" " Divorced" " White" " Male" 60
43 " Some-college" " Married-civ-spouse" " White" " Male" 40
46 " 5th-6th" " Married-civ-spouse" " White" " Male" 40
35 " Assoc-voc" " Married-civ-spouse" " White" " Male" 40
41 " HS-grad" " Married-civ-spouse" " White" " Male" 48
30 " HS-grad" " Married-civ-spouse" " White" " Male" 40
30 " Bachelors" " Married-civ-spouse" " White" " Male" 40
32 " 7th-8th" " Married-spouse-absent" " White" " Male" 40
48 " HS-grad" " Married-civ-spouse" " White" " Male" 40
42 " Doctorate" " Married-civ-spouse" " White" " Male" 45
29 " Some-college" " Divorced" " White" " Male" 58
36 " HS-grad" " Married-civ-spouse" " White" " Male" 40
28 " Some-college" " Divorced" " White" " Female" 40
53 " HS-grad" " Married-civ-spouse" " White" " Female" 40
49 " Some-college" " Married-civ-spouse" " White" " Male" 50
25 " Some-college" " Never-married" " White" " Male" 40
19 " Some-college" " Never-married" " White" " Male" 32
31 " Bachelors" " Separated" " Black" " Female" 40
29 " Bachelors" " Married-civ-spouse" " White" " Male" 70
23 " Some-college" " Never-married" " White" " Male" 40
79 " Some-college" " Married-civ-spouse" " White" " Male" 20
27 " HS-grad" " Never-married" " White" " Male" 40
40 " Assoc-acdm" " Married-civ-spouse" " White" " Male" 40
67 " 10th" " Married-civ-spouse" " White" " Male" 2
18 " 11th" " Never-married" " White" " Female" 22
31 " 7th-8th" " Married-civ-spouse" " White" " Male" 40
18 " HS-grad" " Never-married" " White" " Male" 30
52 " Bachelors" " Married-civ-spouse" " White" " Male" 40
46 " HS-grad" " Married-civ-spouse" " White" " Female" 40
59 " HS-grad" " Married-civ-spouse" " White" " Male" 48
44 " HS-grad" " Divorced" " White" " Female" 40
53 " HS-grad" " Divorced" " White" " Female" 35
49 " HS-grad" " Married-civ-spouse" " White" " Male" 40
33 " Masters" " Married-civ-spouse" " White" " Male" 50
30 " 9th" " Never-married" " White" " Male" 40
43 " Doctorate" " Never-married" " White" " Female" 50
57 " Assoc-voc" " Married-civ-spouse" " White" " Male" 40
37 " Some-college" " Divorced" " White" " Female" 40
28 " Some-college" " Divorced" " Black" " Female" 25
30 " HS-grad" " Married-civ-spouse" " Asian-Pac-Islander" " Female" 35
34 " Bachelors" " Married-civ-spouse" " White" " Male" 40
29 " Some-college" " Never-married" " White" " Male" 50
48 " Doctorate" " Married-civ-spouse" " White" " Male" 60
37 " Some-college" " Married-civ-spouse" " White" " Male" 48
48 " Assoc-acdm" " Divorced" " White" " Female" 40
32 " HS-grad" " Never-married" " Black" " Male" 40
76 " Masters" " Married-civ-spouse" " White" " Male" 40
44 " Bachelors" " Married-civ-spouse" " White" " Male" 60
47 " Masters" " Never-married" " White" " Female" 50
20 " Some-college" " Never-married" " White" " Female" 40
29 " HS-grad" " Never-married" " White" " Male" 40
32 " HS-grad" " Married-civ-spouse" " White" " Male" 40
17 " 10th" " Never-married" " White" " Female" 32
30 " 11th" " Never-married" " White" " Male" 40
31 " HS-grad" " Never-married" " White" " Female" 40
42 " HS-grad" " Married-civ-spouse" " White" " Male" 40
24 " Bachelors" " Never-married" " White" " Male" 40
38 " Prof-school" " Married-civ-spouse" " White" " Male" 40
56 " HS-grad" " Married-civ-spouse" " White" " Male" 50
28 " Some-college" " Married-civ-spouse" " White" " Female" 25
36 " HS-grad" " Never-married" " White" " Female" 40
53 " 9th" " Married-civ-spouse" " White" " Male" 50
56 " Some-college" " Married-civ-spouse" " White" " Male" 50
49 " Assoc-voc" " Married-civ-spouse" " Black" " Male" 40
55 " Some-college" " Married-civ-spouse" " White" " Male" 56
22 " HS-grad" " Never-married" " White" " Male" 41
21 " Some-college" " Never-married" " White" " Female" 40
40 " Bachelors" " Married-civ-spouse" " White" " Male" 60
30 " Bachelors" " Never-married" " Black" " Male" 40
29 " Bachelors" " Married-civ-spouse" " White" " Male" 50
19 " Some-college" " Never-married" " Black" " Male" 35
47 " Bachelors" " Married-civ-spouse" " White" " Female" 40
20 " Some-college" " Never-married" " White" " Female" 28
31 " Assoc-acdm" " Married-civ-spouse" " White" " Male" 40
35 " HS-grad" " Married-civ-spouse" " White" " Male" 40
39 " Some-college" " Divorced" " White" " Male" 40
28 " Assoc-acdm" " Never-married" " White" " Female" 60
24 " HS-grad" " Never-married" " White" " Female" 40
38 " HS-grad" " Married-civ-spouse" " White" " Male" 35
37 " Bachelors" " Married-civ-spouse" " White" " Male" 50
46 " Assoc-acdm" " Divorced" " Black" " Female" 36
38 " Masters" " Married-civ-spouse" " White" " Male" 40
43 " HS-grad" " Married-civ-spouse" " White" " Male" 60
27 " Assoc-voc" " Married-civ-spouse" " White" " Female" 35
20 " Some-college" " Never-married" " White" " Male" 20
49 " Some-college" " Married-civ-spouse" " Asian-Pac-Islander" " Male" 40
61 " HS-grad" " Married-civ-spouse" " White" " Male" 40
27 " Some-college" " Never-married" " White" " Female" 40
19 " Some-college" " Never-married" " White" " Male" 30
45 " Assoc-voc" " Never-married" " White" " Female" 40
70 " Some-college" " Never-married" " White" " Male" 40
31 " HS-grad" " Never-married" " Black" " Female" 30
22 " Some-college" " Married-civ-spouse" " White" " Male" 24
36 " HS-grad" " Widowed" " White" " Female" 24
64 " 11th" " Married-civ-spouse" " White" " Male" 40
43 " Some-college" " Divorced" " White" " Female" 40
47 " Some-college" " Divorced" " White" " Female" 38
34 " HS-grad" " Never-married" " White" " Female" 40
33 " Bachelors" " Never-married" " Asian-Pac-Islander" " Female" 40
21 " HS-grad" " Never-married" " White" " Male" 35
52 " HS-grad" " Divorced" " White" " Male" 45
48 " HS-grad" " Married-civ-spouse" " White" " Male" 46
23 " Bachelors" " Never-married" " White" " Male" 40
71 " Some-college" " Separated" " Black" " Male" 2
29 " HS-grad" " Divorced" " White" " Male" 60
42 " Bachelors" " Separated" " Black" " Male" 50
68 " 1st-4th" " Divorced" " White" " Female" 20
25 " HS-grad" " Never-married" " White" " Female" 40
44 " Masters" " Divorced" " Asian-Pac-Islander" " Female" 40
28 " HS-grad" " Never-married" " Asian-Pac-Islander" " Female" 40
45 " Masters" " Married-civ-spouse" " White" " Male" 40
36 " Some-college" " Divorced" " White" " Female" 40
39 " Assoc-acdm" " Never-married" " White" " Male" 42
46 " Masters" " Widowed" " White" " Male" 40
18 " 11th" " Never-married" " White" " Male" 16
66 " Assoc-voc" " Widowed" " White" " Female" 20
27 " HS-grad" " Never-married" " White" " Male" 40
28 " HS-grad" " Married-civ-spouse" " White" " Male" 40
51 " Some-college" " Married-civ-spouse" " White" " Male" 40
27 " Bachelors" " Never-married" " White" " Male" 50
28 " Bachelors" " Married-civ-spouse" " White" " Male" 40
27 " HS-grad" " Married-spouse-absent" " White" " Female" 25
21 " HS-grad" " Never-married" " Black" " Male" 40
34 " HS-grad" " Never-married" " Black" " Male" 40
18 " HS-grad" " Never-married" " White" " Male" 12
33 " Bachelors" " Married-civ-spouse" " White" " Male" 65
44 " Some-college" " Married-civ-spouse" " Black" " Male" 38
43 " Some-college" " Divorced" " White" " Female" 40
30 " Some-college" " Never-married" " Black" " Male" 45
40 " 7th-8th" " Married-civ-spouse" " White" " Male" 40
37 " Some-college" " Married-civ-spouse" " White" " Male" 42
34 " HS-grad" " Married-civ-spouse" " Black" " Male" 40
41 " Bachelors" " Divorced" " White" " Female" 40
53 " Bachelors" " Divorced" " White" " Female" 50
31 " Masters" " Married-civ-spouse" " White" " Female" 50
58 " Doctorate" " Married-civ-spouse" " White" " Male" 1
38 " Some-college" " Divorced" " Black" " Female" 28
24 " Some-college" " Married-civ-spouse" " White" " Male" 40
41 " Bachelors" " Married-civ-spouse" " Black" " Male" 40
47 " Some-college" " Married-civ-spouse" " White" " Male" 45
41 " Bachelors" " Married-civ-spouse" " White" " Male" 24
23 " 5th-6th" " Married-civ-spouse" " White" " Male" 40
36 " Some-college" " Divorced" " White" " Male" 40
40 " Masters" " Never-married" " White" " Female" 55
35 " Masters" " Married-civ-spouse" " White" " Male" 40
24 " HS-grad" " Never-married" " White" " Male" 40
26 " Masters" " Never-married" " White" " Female" 40
19 " HS-grad" " Never-married" " White" " Male" 40
51 " Bachelors" " Married-civ-spouse" " White" " Male" 50
42 " Some-college" " Never-married" " White" " Female" 40
37 " HS-grad" " Divorced" " White" " Female" 35
18 " 11th" " Never-married" " White" " Female" 40
36 " Bachelors" " Married-civ-spouse" " Black" " Male" 36
35 " HS-grad" " Divorced" " White" " Male" 60
58 " HS-grad" " Married-civ-spouse" " White" " Female" 35
17 " 11th" " Never-married" " White" " Female" 12
44 " HS-grad" " Married-civ-spouse" " Black" " Male" 40
37 " HS-grad" " Married-civ-spouse" " White" " Male" 40
35 " Some-college" " Never-married" " Amer-Indian-Eskimo" " Female" 40
60 " HS-grad" " Married-civ-spouse" " Asian-Pac-Islander" " Male" 40
54 " 7th-8th" " Married-civ-spouse" " White" " Male" 40
37 " Bachelors" " Never-married" " Black" " Male" 60
50 " Assoc-acdm" " Divorced" " White" " Female" 40
38 " Bachelors" " Married-civ-spouse" " White" " Male" 50
45 " Bachelors" " Married-civ-spouse" " White" " Male" 55
25 " 10th" " Never-married" " White" " Male" 40
31 " Some-college" " Married-civ-spouse" " White" " Male" 40
64 " 1st-4th" " Divorced" " White" " Male" 40
90 " HS-grad" " Never-married" " Black" " Male" 40
54 " HS-grad" " Married-civ-spouse" " Black" " Male" 20
53 " Preschool" " Never-married" " White" " Female" 35
18 " HS-grad" " Never-married" " White" " Female" 40
60 " 10th" " Divorced" " Amer-Indian-Eskimo" " Female" 10
66 " HS-grad" " Married-civ-spouse" " White" " Male" 50
75 " Assoc-voc" " Widowed" " White" " Female" 20
65 " HS-grad" " Divorced" " White" " Female" 40
35 " 11th" " Separated" " Black" " Male" 40
41 " HS-grad" " Divorced" " Black" " Female" 38
25 " Some-college" " Never-married" " White" " Male" 42
33 " Some-college" " Divorced" " Other" " Female" 40
28 " Prof-school" " Never-married" " White" " Male" 55
59 " HS-grad" " Married-civ-spouse" " White" " Male" 40
40 " Some-college" " Never-married" " White" " Female" 38
41 " Bachelors" " Married-civ-spouse" " White" " Male" 50
38 " Masters" " Married-civ-spouse" " White" " Male" 70
23 " HS-grad" " Never-married" " White" " Male" 40
40 " Bachelors" " Married-civ-spouse" " White" " Male" 40
41 " HS-grad" " Married-civ-spouse" " White" " Female" 20
24 " Assoc-acdm" " Married-civ-spouse" " White" " Male" 50
20 " Some-college" " Never-married" " White" " Male" 20
38 " Some-college" " Divorced" " White" " Male" 40
56 " HS-grad" " Married-civ-spouse" " White" " Male" 35
58 " HS-grad" " Married-civ-spouse" " White" " Male" 45
32 " HS-grad" " Never-married" " White" " Female" 34
40 " Assoc-acdm" " Married-civ-spouse" " White" " Male" 60
45 " HS-grad" " Married-civ-spouse" " White" " Male" 40
41 " Prof-school" " Married-civ-spouse" " White" " Female" 40
42 " Bachelors" " Married-civ-spouse" " Black" " Female" 40
59 " 10th" " Widowed" " Black" " Female" 30
19 " Some-college" " Never-married" " White" " Male" 40
58 " Some-college" " Never-married" " White" " Male" 20
42 " HS-grad" " Married-civ-spouse" " Asian-Pac-Islander" " Male" 40
20 " HS-grad" " Never-married" " White" " Female" 40
32 " HS-grad" " Separated" " White" " Female" 30
45 " Assoc-voc" " Widowed" " White" " Female" 45
50 " 7th-8th" " Divorced" " White" " Male" 40
36 " Bachelors" " Divorced" " White" " Female" 40
45 " HS-grad" " Married-civ-spouse" " White" " Male" 60
17 " 11th" " Never-married" " White" " Male" 12
59 " Some-college" " Married-civ-spouse" " White" " Male" 40
26 " 11th" " Married-civ-spouse" " White" " Male" 40
37 " Some-college" " Married-civ-spouse" " Asian-Pac-Islander" " Male" 75
19 " Some-college" " Never-married" " White" " Male" 24
64 " HS-grad" " Married-civ-spouse" " White" " Male" 40
33 " Bachelors" " Never-married" " White" " Female" 45
33 " HS-grad" " Married-civ-spouse" " White" " Female" 40
61 " HS-grad" " Married-civ-spouse" " White" " Male" 40
17 " 9th" " Never-married" " White" " Male" 24
50 " Masters" " Married-civ-spouse" " White" " Male" 98
27 " Masters" " Never-married" " White" " Male" 35
30 " HS-grad" " Divorced" " White" " Female" 40
43 " HS-grad" " Married-civ-spouse" " Black" " Male" 40
44 " Some-college" " Married-civ-spouse" " White" " Male" 40
35 " Some-college" " Never-married" " White" " Female" 40
25 " Some-college" " Never-married" " White" " Female" 40
24 " Some-college" " Married-civ-spouse" " White" " Female" 48
22 " Bachelors" " Never-married" " White" " Female" 15
42 " Some-college" " Married-civ-spouse" " White" " Male" 40
34 " Assoc-acdm" " Divorced" " Black" " Female" 45
60 " Bachelors" " Divorced" " White" " Female" 42
21 " HS-grad" " Never-married" " White" " Male" 40
57 " Masters" " Married-civ-spouse" " White" " Male" 40
41 " Prof-school" " Married-civ-spouse" " White" " Male" 60
50 " Some-college" " Divorced" " White" " Male" 45
25 " Bachelors" " Never-married" " White" " Female" 40
50 " 7th-8th" " Married-civ-spouse" " White" " Male" 40
36 " Bachelors" " Married-civ-spouse" " White" " Male" 45
31 " HS-grad" " Divorced" " White" " Female" 40
29 " Bachelors" " Never-married" " White" " Male" 56
21 " Some-college" " Never-married" " White" " Male" 45
27 " Bachelors" " Never-married" " Black" " Female" 40
65 " HS-grad" " Married-civ-spouse" " White" " Male" 16
37 " Bachelors" " Divorced" " White" " Female" 60
39 " Masters" " Married-civ-spouse" " Asian-Pac-Islander" " Female" 40
24 " HS-grad" " Never-married" " White" " Male" 40
38 " HS-grad" " Divorced" " White" " Male" 80
48 " Bachelors" " Married-civ-spouse" " White" " Male" 40
21 " Some-college" " Never-married" " Asian-Pac-Islander" " Female" 25
31 " HS-grad" " Married-civ-spouse" " White" " Male" 45
55 " HS-grad" " Married-civ-spouse" " White" " Male" 40
24 " Some-college" " Married-civ-spouse" " Asian-Pac-Islander" " Female" 40
43 " HS-grad" " Divorced" " White" " Female" 40
26 " Assoc-acdm" " Never-married" " White" " Male" 45
46 " Assoc-acdm" " Never-married" " White" " Female" 33
35 " Assoc-acdm" " Married-civ-spouse" " White" " Male" 40
41 " Some-college" " Married-civ-spouse" " White" " Male" 54
26 " Bachelors" " Never-married" " White" " Male" 40
34 " Masters" " Married-civ-spouse" " Asian-Pac-Islander" " Male" 35
19 " Some-college" " Never-married" " Black" " Female" 25
36 " Bachelors" " Divorced" " Black" " Female" 40
22 " Some-college" " Never-married" " White" " Male" 15
24 " Some-college" " Never-married" " White" " Male" 40
77 " Some-college" " Married-civ-spouse" " White" " Male" 40
22 " 5th-6th" " Married-civ-spouse" " White" " Female" 40
29 " Some-college" " Never-married" " White" " Female" 40
62 " HS-grad" " Widowed" " White" " Female" 24
39 " HS-grad" " Married-civ-spouse" " White" " Male" 40
43 " Some-college" " Married-civ-spouse" " White" " Male" 50
35 " HS-grad" " Divorced" " White" " Male" 45
29 " 11th" " Never-married" " White" " Female" 40
76 " Masters" " Married-civ-spouse" " White" " Male" 10
63 " HS-grad" " Married-civ-spouse" " White" " Male" 45
23 " Assoc-voc" " Never-married" " Black" " Female" 15
43 " Some-college" " Married-civ-spouse" " White" " Female" 50
58 " HS-grad" " Married-civ-spouse" " White" " Male" 40
66 " HS-grad" " Never-married" " White" " Male" 55
41 " Some-college" " Never-married" " Black" " Male" 45
26 " Bachelors" " Never-married" " White" " Male" 40
47 " Assoc-voc" " Never-married" " White" " Male" 40
55 " 10th" " Married-civ-spouse" " White" " Male" 40
53 " HS-grad" " Married-civ-spouse" " White" " Male" 40
17 " 5th-6th" " Never-married" " White" " Male" 48
30 " HS-grad" " Never-married" " White" " Male" 40
49 " Masters" " Never-married" " White" " Male" 60
19 " HS-grad" " Never-married" " Black" " Male" 30
45 " HS-grad" " Married-civ-spouse" " Black" " Male" 40
26 " Assoc-acdm" " Never-married" " White" " Male" 40
38 " Assoc-voc" " Married-civ-spouse" " White" " Male" 40
36 " HS-grad" " Married-civ-spouse" " White" " Male" 40
33 " HS-grad" " Never-married" " White" " Male" 20
22 " Some-college" " Never-married" " Black" " Female" 40
43 " Bachelors" " Never-married" " White" " Male" 42
67 " 11th" " Married-civ-spouse" " White" " Male" 8
30 " Assoc-voc" " Divorced" " White" " Female" 40
56 " Assoc-acdm" " Married-spouse-absent" " White" " Male" 25
31 " Bachelors" " Never-married" " White" " Male" 25
33 " Bachelors" " Married-civ-spouse" " White" " Male" 40
26 " HS-grad" " Married-civ-spouse" " White" " Male" 40
33 " Bachelors" " Married-civ-spouse" " White" " Male" 40
46 " 11th" " Married-civ-spouse" " White" " Male" 30
59 " Bachelors" " Married-civ-spouse" " White" " Male" 40
38 " HS-grad" " Married-civ-spouse" " White" " Male" 40
65 " 11th" " Widowed" " Other" " Male" 40
40 " Assoc-voc" " Married-civ-spouse" " White" " Male" 40
42 " HS-grad" " Married-civ-spouse" " White" " Female" 35
26 " 9th" " Married-civ-spouse" " White" " Male" 40
36 " 10th" " Married-civ-spouse" " White" " Female" 24
62 " Masters" " Married-civ-spouse" " White" " Male" 40
43 " Bachelors" " Married-civ-spouse" " White" " Male" 45
43 " Bachelors" " Divorced" " White" " Male" 45
22 " HS-grad" " Married-spouse-absent" " White" " Male" 55
28 " HS-grad" " Married-civ-spouse" " White" " Male" 40
56 " Some-college" " Married-civ-spouse" " White" " Male" 45
22 " Assoc-acdm" " Never-married" " White" " Female" 15
57 " Bachelors" " Divorced" " White" " Female" 45
39 " HS-grad" " Divorced" " White" " Female" 40
26 " Some-college" " Never-married" " White" " Female" 15
17 " 11th" " Never-married" " White" " Male" 10
40 " Assoc-voc" " Married-civ-spouse" " White" " Male" 38
45 " HS-grad" " Married-civ-spouse" " Black" " Male" 40
44 " HS-grad" " Never-married" " Black" " Male" 40
20 " Some-college" " Never-married" " White" " Female" 10
33 " HS-grad" " Married-civ-spouse" " White" " Female" 40
23 " Some-college" " Never-married" " White" " Male" 40
46 " Masters" " Divorced" " White" " Male" 30
38 " HS-grad" " Married-civ-spouse" " White" " Male" 50
54 " HS-grad" " Divorced" " White" " Male" 40
46 " 5th-6th" " Divorced" " White" " Female" 45
25 " Some-college" " Married-civ-spouse" " White" " Male" 40
46 " Some-college" " Divorced" " White" " Female" 40
36 " Some-college" " Married-civ-spouse" " White" " Female" 40
23 " HS-grad" " Never-married" " White" " Female" 25
29 " HS-grad" " Separated" " White" " Male" 40
44 " Some-college" " Married-civ-spouse" " White" " Female" 6
19 " Some-college" " Never-married" " White" " Female" 16
19 " HS-grad" " Never-married" " White" " Female" 40
35 " HS-grad" " Married-civ-spouse" " White" " Female" 40
27 " Bachelors" " Never-married" " White" " Male" 50
46 " Assoc-acdm" " Separated" " White" " Male" 40
34 " Bachelors" " Married-civ-spouse" " White" " Male" 45
34 " HS-grad" " Never-married" " White" " Female" 35
44 " Some-college" " Married-civ-spouse" " White" " Male" 40
45 " Some-college" " Divorced" " White" " Female" 40
20 " HS-grad" " Never-married" " White" " Female" 35
25 " Bachelors" " Married-civ-spouse" " White" " Male" 55
52 " Bachelors" " Married-civ-spouse" " White" " Male" 50
20 " Some-college" " Never-married" " White" " Male" 40
28 " Some-college" " Never-married" " White" " Female" 40
50 " Bachelors" " Married-civ-spouse" " White" " Male" 40
34 " Assoc-voc" " Divorced" " White" " Female" 64
28 " 7th-8th" " Married-civ-spouse" " Other" " Male" 40
41 " Masters" " Married-civ-spouse" " White" " Male" 65
28 " HS-grad" " Married-civ-spouse" " White" " Male" 40
46 " HS-grad" " Married-civ-spouse" " White" " Male" 25
28 " Some-college" " Married-civ-spouse" " White" " Female" 40
32 " Some-college" " Married-civ-spouse" " White" " Male" 50
41 " Some-college" " Divorced" " Black" " Female" 24
24 " HS-grad" " Never-married" " Black" " Female" 40
33 " Some-college" " Divorced" " White" " Female" 40
46 " Doctorate" " Married-civ-spouse" " White" " Male" 60
31 " Some-college" " Married-civ-spouse" " White" " Male" 40
35 " 12th" " Divorced" " White" " Male" 50
52 " 1st-4th" " Married-civ-spouse" " White" " Male" 40
30 " 11th" " Never-married" " White" " Female" 19
34 " 11th" " Separated" " Black" " Male" 40
34 " HS-grad" " Divorced" " White" " Female" 40
20 " Some-college" " Married-civ-spouse" " White" " Male" 30
17 " 11th" " Never-married" " White" " Male" 18
32 " Bachelors" " Married-civ-spouse" " White" " Female" 40
29 " HS-grad" " Divorced" " White" " Male" 40
33 " 10th" " Never-married" " White" " Female" 35
25 " HS-grad" " Married-civ-spouse" " White" " Male" 60
36 " Masters" " Never-married" " White" " Male" 40
23 " HS-grad" " Never-married" " White" " Male" 72
63 " HS-grad" " Married-civ-spouse" " White" " Male" 40
47 " Masters" " Married-civ-spouse" " White" " Male" 40
80 " HS-grad" " Widowed" " White" " Male" 24
17 " 11th" " Never-married" " White" " Male" 40
40 " Bachelors" " Married-spouse-absent" " White" " Female" 40
30 " Assoc-acdm" " Married-civ-spouse" " White" " Female" 25
27 " Some-college" " Never-married" " Asian-Pac-Islander" " Male" 40
33 " Masters" " Married-civ-spouse" " White" " Male" 50
34 " HS-grad" " Never-married" " Black" " Male" 60
34 " Some-college" " Never-married" " White" " Female" 40
23 " Some-college" " Married-civ-spouse" " White" " Male" 40
42 " Some-college" " Married-civ-spouse" " White" " Female" 40
29 " Bachelors" " Never-married" " White" " Male" 40
45 " HS-grad" " Divorced" " White" " Female" 28
24 " HS-grad" " Never-married" " White" " Male" 40
44 " Some-college" " Married-civ-spouse" " White" " Male" 40
27 " 9th" " Never-married" " White" " Male" 40
20 " Some-college" " Never-married" " White" " Male" 35
44 " HS-grad" " Widowed" " Black" " Female" 40
51 " HS-grad" " Married-civ-spouse" " Amer-Indian-Eskimo" " Male" 40
20 " HS-grad" " Married-civ-spouse" " White" " Male" 40
17 " 11th" " Never-married" " White" " Female" 5
19 " HS-grad" " Never-married" " Black" " Female" 40
45 " Some-college" " Married-civ-spouse" " White" " Male" 55
60 " HS-grad" " Married-civ-spouse" " White" " Male" 40
42 " Assoc-acdm" " Married-civ-spouse" " Black" " Male" 40
44 " HS-grad" " Married-civ-spouse" " White" " Female" 40
40 " Assoc-voc" " Married-civ-spouse" " Asian-Pac-Islander" " Male" 40
30 " HS-grad" " Married-civ-spouse" " White" " Female" 40
38 " Some-college" " Married-civ-spouse" " Black" " Male" 50
23 " HS-grad" " Married-civ-spouse" " White" " Male" 60
32 " Some-college" " Married-civ-spouse" " White" " Male" 40
44 " Assoc-acdm" " Never-married" " White" " Male" 40
54 " HS-grad" " Married-civ-spouse" " Black" " Male" 40
32 " Bachelors" " Married-civ-spouse" " White" " Male" 50
50 " 1st-4th" " Married-spouse-absent" " White" " Male" 40
24 " Bachelors" " Never-married" " White" " Female" 20
37 " HS-grad" " Married-civ-spouse" " White" " Female" 60
52 " HS-grad" " Divorced" " White" " Male" 40
38 " Some-college" " Married-civ-spouse" " White" " Male" 40
49 " Masters" " Married-civ-spouse" " White" " Male" 45
30 " Bachelors" " Married-civ-spouse" " White" " Female" 16
60 " Some-college" " Never-married" " White" " Male" 40
22 " Some-college" " Never-married" " White" " Male" 40
35 " HS-grad" " Never-married" " White" " Male" 40
30 " HS-grad" " Never-married" " White" " Male" 60
67 " Assoc-voc" " Divorced" " White" " Female" 24
46 " Bachelors" " Never-married" " White" " Female" 40
17 " 9th" " Never-married" " White" " Male" 6
22 " Some-college" " Never-married" " White" " Male" 30
27 " 10th" " Never-married" " White" " Male" 40
23 " HS-grad" " Never-married" " White" " Female" 35
33 " Assoc-acdm" " Married-civ-spouse" " White" " Male" 45
43 " Some-college" " Married-civ-spouse" " White" " Male" 20
28 " Bachelors" " Never-married" " White" " Male" 20
41 " HS-grad" " Married-spouse-absent" " White" " Female" 40
52 " 12th" " Never-married" " Black" " Male" 40
25 " Some-college" " Married-spouse-absent" " Black" " Female" 20
63 " 1st-4th" " Married-civ-spouse" " White" " Male" 35
59 " HS-grad" " Married-civ-spouse" " White" " Male" 45
45 " Bachelors" " Divorced" " White" " Female" 40
38 " Bachelors" " Married-civ-spouse" " White" " Male" 60
40 " HS-grad" " Never-married" " White" " Female" 35
46 " HS-grad" " Divorced" " White" " Male" 40
35 " Assoc-acdm" " Never-married" " White" " Female" 60
34 " HS-grad" " Divorced" " White" " Female" 25
33 " Bachelors" " Never-married" " White" " Male" 20
41 " HS-grad" " Divorced" " White" " Female" 36
20 " Some-college" " Never-married" " White" " Male" 40
23 " 5th-6th" " Never-married" " White" " Male" 40
26 " Some-college" " Never-married" " White" " Female" 35
72 " HS-grad" " Married-civ-spouse" " White" " Male" 20
23 " HS-grad" " Never-married" " White" " Male" 40
62 " HS-grad" " Married-civ-spouse" " White" " Male" 40
52 " Some-college" " Married-civ-spouse" " White" " Male" 40
